Temp,Date,Precip,date,year,rollT_2,rollP_2,rollT_5,rollP_5,rollT_8,rollP_8,rollT_11,rollP_11,rollT_14,rollP_14,rollT_17,rollP_17,rollT_20,rollP_20,rollT_23,rollP_23,rollT_26,rollP_26,rollT_29,rollP_29,rollT_32,rollP_32,rollT_35,rollP_35,Mnb,month,site
16.0968389219139,2015-08-01,0,2015-08-01,2015,14.3926442407811,-8.2572837456496E-16,14.2249402320078,1.29590755416001,14.7311487833465,3.52748931543786,15.9143671693671,3.09697884386439,16.4958986462737,2.84198319831969,17.2460268942693,2.71945063616341,17.2886908668561,2.9325520018907,17.1640589951404,2.60820021119811,17.0997202415054,2.76829116331155,17.6277170909925,3.53255094524383,18.2751257020261,3.28132695080905,18.2562905374757,3.00007035502541,0,8,All
17.6084041953222,2015-08-02,0,2015-08-02,2015,16.8526215586181,-8.2572837456496E-16,14.6662288104931,1.13577148426282,14.8815796707916,1.84438758085325,15.7322786132312,3.09697884386439,16.6406758336433,2.59234399967477,17.1408159479446,2.71945063616341,17.3660404315118,2.547974796707,17.311304246358,2.60820021119811,16.9739518830074,2.70645791523336,17.2898323053054,3.53255094524383,18.1250907400218,3.28132695080905,18.3109050200911,3.00007035502541,0,8,All
22.0122111786104,2015-08-03,0,2015-08-03,2015,19.8103076869663,-8.2572837456496E-16,16.354939345026,0.471878480403848,15.7565829806161,1.62855127407782,16.1311659226675,3.09697884386439,16.9025516171688,2.43334052017916,17.0595961598362,2.38040964036099,17.5701269344269,2.40882867791138,17.4664926650033,2.60820021119811,17.2242977931675,2.30725403298294,17.3350705017462,2.48191621538277,17.9825559836949,3.20137429412722,18.386885149284,3.00007035502541,0,8,All
18.8740870130803,2015-08-04,4.63846646401011,2015-08-04,2015,20.4431490958454,2.31923323200505,17.455998173715,0.927693292802022,16.2024254433815,1.38975052935127,16.0312629685259,2.98712554431936,16.6823386607179,2.76465955332274,17.0257225549909,2.61330772002857,17.5838579794795,2.5434563639394,17.5768921619189,2.75171767399235,17.4333868952017,2.48565658929102,17.3478423677984,2.64186333483139,17.8030780633061,3.34632637112754,18.3799635671957,3.13259796828285,0,8,All
18.3323389324509,2015-08-05,0,2015-08-05,2015,18.6032129727656,2.31923323200505,18.5847760482755,0.927693292802022,16.5687226470759,1.28966548566553,16.206479499134,1.76305155553056,16.5909787049775,2.76465955332274,17.187535223244,2.40772249761511,17.53062541196,2.5434563639394,17.6756280762773,2.41730271296305,17.591485953476,2.48565658929102,17.2600477959426,2.58642662965784,17.5194929368124,3.34632637112754,18.263472594424,3.13259796828285,0,8,All
23.1887266921302,2015-08-06,0,2015-08-06,2015,20.7605328122906,-8.2572837456496E-16,20.0031536023188,0.927693292802022,17.7712311703489,0.874732358253669,16.9498014984173,1.60607969605752,16.988426984786,2.76465955332274,17.4724044281191,2.27677845567755,17.5204143677439,2.25527151750735,17.9042474489652,2.29630608792337,17.7740186127976,2.48565658929102,17.5250653537936,2.22851970074367,17.5972561621344,2.39418864719095,18.1667698318828,3.05949839645946,0,8,All
21.8285509190282,2015-08-07,8.18059083369799,2015-08-07,2015,22.5086388055792,4.09029541684899,20.84718294706,2.56381145954162,18.828700926523,1.60238216221351,17.5426381900601,1.75441773350074,17.120964942671,2.9313551300865,17.4648445760977,2.7579896811892,17.6393449989227,2.63034110370918,18.0446424405739,2.56737904836896,17.9853129333748,2.74884989752008,17.8144026144432,2.51060903983671,17.7011576628051,2.64983211074401,18.0870889876973,3.29322956313655,0,8,All
18.4521206922743,2015-08-08,0,2015-08-08,2015,20.1403358056512,4.09029541684899,20.1351648497928,2.56381145954162,19.5491598181013,1.60238216221351,17.8199254072763,1.6816286108202,17.2671909138505,1.96958271032386,17.3966529513598,2.7579896811892,17.782874854929,2.45559366465775,18.0035611540275,2.56737904836896,18.0772632329927,2.453021278148,17.9602770032348,2.51060903983671,17.6253370120552,2.59959259668048,17.8312334937551,3.29322956313655,0,8,All
18.0745527534399,2015-08-09,0,2015-08-09,2015,18.2633367228571,-8.2572837456496E-16,19.9752579978647,1.6361181667396,19.7963740470421,1.60238216221351,18.2295521570485,1.37985906361158,17.4859314890952,1.84624767788076,17.423129538338,2.7579896811892,17.7693049821384,2.34429122901082,17.7723265965052,2.31678352973239,18.0828044496516,2.34598580215137,17.947576148189,2.51060903983671,17.7056912382737,2.27523944235202,17.7562120443727,2.42270364410881,0,8,All
20.5890284365098,2015-08-10,14.4170043628526,2015-08-10,2015,19.3317905949749,7.2085021814263,20.4265958986765,4.51951903931012,20.1689520771905,3.40450770757009,18.8859372085826,2.47600560550552,17.8631944266347,2.40825710224005,17.4593653576246,3.26211624612139,17.7009029837942,3.06514144715345,17.8218522548121,2.91407941030593,18.1593260775163,2.82564317212841,18.0942702810334,2.96162419649568,17.9291680531586,2.72577082869116,17.8157927740568,2.83461805447603,0,8,All
